,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_id,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,acousticness,playlist_subgenre
43,0.712,91.98,0.848,pop,-3.574,0.106,0.692,4,0.0981,84,3mg9jYNC1NihbthlglzrWP,+57,2024-11-08,0.0,0,1,298131,0.221,mainstream
44,0.645,114.933,0.882,pop,-7.233,0.057,0.788,4,0.0601,87,0io16MKpbeDIdYzmGpQaES,Embrace It,2024-08-23,4.13e-05,1,1,104419,0.475,mainstream
45,0.872,184.115,0.466,pop,-3.344,0.121,0.806,4,0.0336,89,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,2024-09-05,0.0,1,7,190428,0.0156,mainstream
46,0.756,116.034,0.66,pop,-3.743,0.193,0.838,4,0.032,92,7tI8dRuH2Yc6RuoTjxo4dU,Who,2024-07-19,0.0,0,0,170888,0.00289,mainstream
47,0.508,147.125,0.579,rock,-9.484,0.0575,0.609,4,0.027,81,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,1976-12-08,0.000494,1,2,391376,0.00574,classic
48,0.89,133.52,0.502,rock,-5.175,0.217,0.259,4,0.0364,83,57bgtoPSgt236HzfBOd8kj,Thunderstruck,1990-09-24,0.0117,1,4,292880,0.000147,classic
49,0.446,123.596,0.743,rock,-7.807,0.337,0.278,4,0.0683,82,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,2003-04-01,0.118,0,4,232107,0.0039,classic
50,0.43,91.844,0.515,rock,-9.935,0.129,0.104,4,0.0372,86,70LcF31zb1H0PyJoS1Sx1r,Creep,1993-02-22,0.000133,1,7,238640,0.0097,classic
51,0.824,120.125,0.5,rock,-5.846,0.0916,0.539,4,0.0388,76,4P5KoWXOxwuobLmHXLMobV,Come As You Are,1991-09-26,0.00161,0,4,218920,0.00016,classic
52,0.767,96.483,0.592,rock,-2.788,0.127,0.328,4,0.027,81,48UPSzbZjgc449aqz8bxox,Californication,1999-06-08,0.00165,0,9,329733,0.0021,classic
53,0.952,125.304,0.445,rock,-5.321,0.112,0.624,4,0.0522,84,7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,1987-07-21,0.0843,1,6,356067,0.09,classic
54,0.795,158.691,0.464,rock,-9.267,0.399,0.612,4,0.0926,81,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",1966-04-15,0.00244,1,1,202267,0.0493,classic
55,0.492,120.151,0.828,rock,-9.744,0.128,0.789,4,0.0276,84,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,1977-02-04,0.00428,1,0,257800,0.0644,classic
56,0.881,158.066,0.413,rock,-5.541,0.0805,0.364,4,0.0367,81,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,1997-05-20,0.000308,0,11,250547,5.99e-05,classic
57,0.716,94.379,0.535,rock,-5.025,0.659,0.901,4,0.0431,77,2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,1981-11-18,0.0,1,4,175173,0.326,classic
58,0.322,93.503,0.475,rock,-10.687,0.11,0.387,4,0.0283,79,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,1977-01-01,0.00056,1,7,206267,0.367,classic
59,0.394,104.114,0.693,rock,-15.882,0.247,0.721,4,0.0428,74,4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",1979-11-30,0.000694,1,0,238747,0.0782,classic
60,0.899,152.445,0.475,rock,-4.321,0.14,0.603,4,0.0637,72,0X1sqQ652p1sceKM2nJlIJ,Runaway,1984-01-23,1.91e-05,0,9,230667,0.00375,classic
61,0.943,85.064,0.442,rock,-3.205,0.091,0.781,4,0.0602,80,6L89mwZXSOwYl76YXfX13s,Basket Case,1994-02-01,8.71e-06,1,3,181533,0.00293,classic
62,0.345,84.581,0.559,rock,-13.496,0.141,0.458,4,0.0459,82,3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,1991-09-24,0.000105,1,4,264307,0.0576,classic
